Title: The Rotation of M Dwarfs Observed by the Apache Point 
       Galactic Evolution Experiment 
Authors: Gilhool S.H., Blake C.H., Terrien R.C., Bender C., 
         Mahadevan S., Deshpande R. 
Table: v sin i Results
================================================================================
Byte-by-byte Description of file: ajaa9c7ct4_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label       Explanations
--------------------------------------------------------------------------------
   1- 17 A17    ---      ID          2MASS identifier
  19- 30 F12.8  deg      RAdeg       Right Ascension in decimal degrees (J2000)
  32- 44 F13.9  deg      DEdeg       Declination in decimal degrees (J2000)
  46- 49 I4     K        Teff-ASPCAP ASPCAP derived effective temperature
  51- 54 I4     K        Teff-VFIT   VFIT derived effective temperature
  56- 59 F4.1   [Sun]    [M/H]       VFIT derived metallicity
  61- 63 F3.1   [cm/s2]  logg        VFIT derived log surface gravity
  65- 65 A1     ---    l_vsini       Limit flag on vsini  
  66- 70 F5.2   km/s     vsini       VFIT derived projected rotation velocity
  72- 74 F3.1   km/s   e_vsini       ? Uncertainty in vsini  
--------------------------------------------------------------------------------
2M04153706+5422491  63.904435    54.380318    3957 4000 -0.5 4.5 < 8.0      
2M04204796+5624202  65.199861    56.405624    2761 2800 -0.0 5.0 < 8.0      
2M04205054+4405369  65.210593    44.093590    3439 3500 -0.5 4.5 < 8.0      
2M04220630+4520007  65.526284    45.333530    3363 3300 +0.5 5.0 < 8.0      
2M04224583+5639474  65.690970    56.663181    3687 3700 -0.0 4.5 < 8.0      
2M04234272+5605429  65.928032    56.095268    3253 3200 -0.0 5.0 < 8.0      
2M04301819+3601341  67.575800    36.026157    3596 3500 -0.0 4.5 < 8.0      
2M04303552+4626098  67.648033    46.436077    2950 3000 -0.5 5.0 < 8.0      
2M04312929+4141107  67.872049    41.686321    3212 3200 -0.0 5.0 < 8.0      
2M04314295+3552302  67.928972    35.875080    3316 3300 +0.5 5.0 < 8.0      
2M04325303+3608084  68.220973    36.135681    3763 3700 -0.0 4.5 < 8.0      
2M04331975+4719064  68.332292    47.318455    3319 3300 -0.0 4.5 < 8.0      
2M04341592+3449315  68.566362    34.825443    3539 3400 -0.0 4.5 < 8.0      
2M04351236+5821100  68.801504    58.352779    3356 3300 -0.0 4.5 < 8.0      
2M04351537+4727272  68.814077    47.457561    3006 3100 -0.5 5.5 < 8.0      
2M04360976+4059136  69.040703    40.987129    3428 3400 -0.0 5.0 < 8.0      
2M04370219+4230427  69.259135    42.511875    3145 3200 +0.5 5.5 < 8.0      
2M04371030+4703549  69.292935    47.065273    3564 3600 -0.5 4.5 < 8.0      
2M04373881+4650216  69.411745    46.839359    3408 3400 -0.0 4.5 < 8.0      
2M04393348+4132488  69.889512    41.546909    3104 3100 -0.0 5.0 < 8.0      
2M04414771+4149500  70.448829    41.830559    3204 3200 +0.5 5.5 < 8.0      
2M04421031+3803170  70.542978    38.054749    3272 3300 -0.0 4.5 < 8.0      
2M04421603+5742275  70.566824    57.707649    3855 3800 -0.0 4.5 < 8.0      
2M04422854+5818015  70.618956    58.300430    3274 3300 -0.0 5.0 < 8.0      
2M04442617+5840464  71.109058    58.679573    3535 3500 -0.0 4.5 < 8.0      
2M04471285+3957231  71.803554    39.956429    2920 2900 -0.0 5.5 < 8.0      
2M04480390+5718092  72.016273    57.302570    3218 3200 +0.5 5.5 < 8.0      
2M04480517+3732402  72.021548    37.544518    3163 3200 +0.5 5.5 < 8.0      
2M04483289+5003109  72.137081    50.053028    3436 3400 +0.5 5.0 < 8.0      
2M04515998+5749173  72.999955    57.821499    2824 2900 -0.0 5.5 < 8.0      
2M04531256+3830323  73.302365    38.508999    3640 3600 -1.0 4.5 < 8.0      
2M04542406+3830436  73.600261    38.512138    3007 3100 -0.5 5.5 < 8.0      
2M04572720+5038596  74.363345    50.649906    3318 3300 +0.5 5.0 < 8.0      
2M04584599+5056378  74.691634    50.943859    3807 3800 -0.0 4.5 < 8.0      
2M04592075+3434124  74.836459    34.570118    3772 3800 +0.5 5.0 < 8.0      
2M04592826+4922300  74.867753    49.375004    3309 3300 -0.5 4.5 < 8.0      
2M05011792+4204125  75.324677    42.070148    3656 3700 +0.5 5.0 < 8.0      
2M05011802+2237015  75.325112    22.617104    3019 3000 -0.0 5.5 < 8.0      
2M05014512+5039319  75.438022    50.658867    3605 3600 -0.0 4.5 < 8.0      
2M05014944+2127375  75.456010    21.460436    3319 3300 -0.0 5.0 < 8.0      
2M05030563+2122362  75.773472    21.376726    3094 3100 +0.5 5.5  21.7  1.5 
2M05031170+4652485  75.798765    46.880161    3313 3200 -0.0 4.5 < 8.0      
2M05052561+4552058  76.356738    45.868279    3463 3400 -0.0 4.5 < 8.0      
2M05053461+4648017  76.394216    46.800491    2632 2600 -0.0 5.5 < 8.0      
